name,fuzzies,base_eq,fuzzy_eq,fuzzy_neq,fuzzy_err,top_i
spider/medicine_enzyme_interaction/0022,16,-3,0,0,0,
spider/entrepreneur/0001,16,-3,0,0,0,
spider/hr_1/0051,16,-3,0,0,0,
spider/manufactory_1/0036,16,-3,0,0,0,
spider/mountain_photos/0010,16,-3,0,0,0,
spider/scientist_1/0007,16,-3,0,0,0,
spider/manufacturer/0006,16,-3,0,0,0,
spider/baseball_1/0036,16,-3,0,0,0,
spider/party_host/0006,16,-3,0,0,0,
spider/college_2/0013,16,-3,0,0,0,
spider/cinema/0017,16,-3,0,0,0,
spider/allergy_1/0023,16,-3,0,0,0,
spider/dorm_1/0021,16,-3,0,0,0,
spider/music_1/0011,16,-3,0,0,0,
spider/company_office/0003,16,-3,0,0,0,
spider/hospital_1/0007,16,-3,0,0,0,
spider/cre_Theme_park/0018,16,-3,0,0,0,
spider/game_1/0003,16,-3,0,0,0,
spider/entrepreneur/0010,16,-3,0,0,0,
spider/twitter_1/0019,16,-3,0,0,0,
spider/music_1/0017,16,-3,0,0,0,
spider/aircraft/0005,16,-3,0,0,0,
spider/store_product/0014,16,-3,0,0,0,
spider/activity_1/0028,16,-3,0,0,0,
spider/college_1/0064,16,-3,0,0,0,
spider/flight_4/0003,16,-3,0,0,0,
spider/csu_1/0030,16,-3,0,0,0,
spider/store_1/0029,16,-3,0,0,0,
spider/apartment_rentals/0011,16,-3,0,0,0,
spider/election/0009,16,-3,0,0,0,
spider/bike_1/0019,16,-3,0,0,0,
spider/e_learning/0013,16,-3,0,0,0,
spider/program_share/0017,16,-3,0,0,0,
spider/body_builder/0022,16,-3,0,0,0,
spider/small_bank_1/0016,16,-3,0,0,0,
spider/protein_institute/0017,16,-3,0,0,0,
spider/storm_record/0006,16,-3,0,0,0,
spider/school_bus/0013,16,-3,0,0,0,
spider/company_office/0018,16,-3,0,0,0,
spider/e_learning/0032,16,-3,0,0,0,
spider/farm/0016,16,-3,0,0,0,
spider/department_management/0011,16,-3,0,0,0,
spider/bike_1/0031,16,-3,0,0,0,
spider/county_public_safety/0009,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0001,16,-3,0,0,0,
spider/chinook_1/0008,16,-3,0,0,0,
spider/twitter_1/0006,16,-3,0,0,0,
spider/flight_4/0020,16,-3,0,0,0,
spider/workshop_paper/0003,16,-3,0,0,0,
spider/cre_Theme_park/0036,16,-3,0,0,0,
spider/manufactory_1/0021,16,-3,0,0,0,
spider/climbing/0004,16,-3,0,0,0,
spider/store_1/0008,16,-3,0,0,0,
spider/coffee_shop/0016,16,-3,0,0,0,
spider/e_government/0014,16,-3,0,0,0,
spider/game_1/0036,16,-3,0,0,0,
spider/match_season/0011,16,-3,0,0,0,
spider/customers_and_addresses/0033,16,-3,0,0,0,
spider/hr_1/0044,16,-3,0,0,0,
spider/pilot_record/0009,16,-3,0,0,0,
spider/assets_maintenance/0005,16,-3,0,0,0,
spider/department_store/0023,16,-3,0,0,0,
spider/student_assessment/0011,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0011,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0011,16,-3,0,0,0,
spider/music_4/0022,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0044,16,-3,0,0,0,
spider/club_1/0017,16,-3,0,0,0,
spider/chinook_1/0038,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0014,16,-3,0,0,0,
spider/debate/0014,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0019,16,-3,0,0,0,
spider/restaurant_1/0005,16,-3,0,0,0,
spider/shop_membership/0004,16,-3,0,0,0,
spider/loan_1/0020,16,-3,0,0,0,
spider/loan_1/0002,16,-3,0,0,0,
spider/soccer_2/0019,16,-3,0,0,0,
spider/shop_membership/0013,16,-3,0,0,0,
spider/body_builder/0023,16,-3,0,0,0,
spider/inn_1/0021,16,-3,0,0,0,
spider/dorm_1/0027,16,-3,0,0,0,
spider/tracking_share_transactions/0016,16,-3,0,0,0,
spider/dorm_1/0022,16,-3,0,0,0,
spider/store_1/0011,16,-3,0,0,0,
spider/tracking_share_transactions/0008,16,-3,0,0,0,
spider/tracking_share_transactions/0041,16,-3,0,0,0,
spider/student_1/0008,16,-3,0,0,0,
spider/college_3/0036,16,-3,0,0,0,
spider/phone_1/0020,16,-3,0,0,0,
spider/wrestler/0003,16,-3,0,0,0,
spider/race_track/0017,16,-3,0,0,0,
spider/music_1/0036,16,-3,0,0,0,
spider/company_employee/0004,16,-3,0,0,0,
spider/store_product/0004,16,-3,0,0,0,
spider/flight_1/0020,16,-3,0,0,0,
spider/coffee_shop/0013,16,-3,0,0,0,
spider/e_learning/0002,16,-3,0,0,0,
spider/allergy_1/0007,16,-3,0,0,0,
spider/roller_coaster/0017,16,-3,0,0,0,
spider/train_station/0019,16,-3,0,0,0,
spider/apartment_rentals/0002,16,-3,0,0,0,
spider/store_product/0021,16,-3,0,0,0,
spider/cre_Theme_park/0039,16,-3,0,0,0,
spider/icfp_1/0027,16,-3,0,0,0,
spider/document_management/0014,16,-3,0,0,0,
spider/college_2/0057,16,-3,0,0,0,
spider/customer_complaints/0011,16,-3,0,0,0,
spider/train_station/0004,16,-3,0,0,0,
spider/scientist_1/0022,16,-3,0,0,0,
spider/soccer_2/0040,16,-3,0,0,0,
spider/program_share/0007,16,-3,0,0,0,
spider/twitter_1/0010,16,-3,0,0,0,
spider/architecture/0007,16,-3,0,0,0,
spider/tracking_software_problems/0008,16,-3,0,0,0,
spider/restaurant_1/0022,16,-3,0,0,0,
spider/debate/0006,16,-3,0,0,0,
spider/match_season/0007,16,-3,0,0,0,
spider/cre_Docs_and_Epenses/0027,16,-3,0,0,0,
spider/entertainment_awards/0017,16,-3,0,0,0,
spider/activity_1/0023,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0030,16,-3,0,0,0,
spider/soccer_1/0003,16,-3,0,0,0,
spider/insurance_policies/0012,16,-3,0,0,0,
spider/gymnast/0019,16,-3,0,0,0,
spider/hospital_1/0023,16,-3,0,0,0,
spider/activity_1/0035,16,-3,0,0,0,
spider/ship_mission/0006,16,-3,0,0,0,
spider/wine_1/0012,16,-3,0,0,0,
spider/perpetrator/0012,16,-3,0,0,0,
spider/products_for_hire/0002,16,-3,0,0,0,
spider/storm_record/0011,16,-3,0,0,0,
spider/store_1/0005,16,-3,0,0,0,
spider/manufactory_1/0018,16,-3,0,0,0,
spider/e_learning/0003,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0009,16,-3,0,0,0,
spider/insurance_and_eClaims/0006,16,-3,0,0,0,
spider/hr_1/0015,16,-3,0,0,0,
spider/entrepreneur/0008,16,-3,0,0,0,
spider/news_report/0014,16,-3,0,0,0,
spider/train_station/0008,16,-3,0,0,0,
spider/behavior_monitoring/0012,16,-3,0,0,0,
spider/customer_complaints/0001,16,-3,0,0,0,
spider/city_record/0014,16,-3,0,0,0,
spider/hr_1/0016,16,-3,0,0,0,
spider/movie_1/0006,16,-3,0,0,0,
spider/products_for_hire/0013,16,-3,0,0,0,
spider/program_share/0013,16,-3,0,0,0,
spider/customers_card_transactions/0015,16,-3,0,0,0,
spider/election/0014,16,-3,0,0,0,
spider/entertainment_awards/0009,16,-3,0,0,0,
spider/store_1/0007,16,-3,0,0,0,
spider/customer_deliveries/0009,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0036,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0036,16,-3,0,0,0,
spider/student_assessment/0019,16,-3,0,0,0,
spider/epinions_1/0017,16,-3,0,0,0,
spider/e_government/0016,16,-3,0,0,0,
spider/products_gen_characteristics/0007,16,-3,0,0,0,
spider/gas_company/0007,16,-3,0,0,0,
spider/medicine_enzyme_interaction/0009,16,-3,0,0,0,
spider/voter_2/0029,16,-3,0,0,0,
spider/news_report/0011,16,-3,0,0,0,
spider/allergy_1/0036,16,-3,0,0,0,
spider/local_govt_and_lot/0013,16,-3,0,0,0,
spider/document_management/0002,16,-3,0,0,0,
spider/solvency_ii/0003,16,-3,0,0,0,
spider/tracking_software_problems/0012,16,-3,0,0,0,
spider/college_1/0049,16,-3,0,0,0,
spider/student_assessment/0006,16,-3,0,0,0,
spider/cre_Docs_and_Epenses/0035,16,-3,0,0,0,
spider/store_product/0008,16,-3,0,0,0,
spider/driving_school/0008,16,-3,0,0,0,
spider/company_1/0007,16,-3,0,0,0,
spider/browser_web/0003,16,-3,0,0,0,
spider/news_report/0003,16,-3,0,0,0,
spider/architecture/0002,16,-3,0,0,0,
spider/department_management/0014,16,-3,0,0,0,
spider/customer_deliveries/0005,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0006,16,-3,0,0,0,
spider/customers_and_addresses/0005,16,-3,0,0,0,
spider/device/0003,16,-3,0,0,0,
spider/perpetrator/0002,16,-3,0,0,0,
spider/network_2/0013,16,-3,0,0,0,
spider/icfp_1/0003,16,-3,0,0,0,
spider/film_rank/0016,16,-3,0,0,0,
spider/store_1/0023,16,-3,0,0,0,
spider/match_season/0008,16,-3,0,0,0,
spider/assets_maintenance/0011,16,-3,0,0,0,
spider/candidate_poll/0009,16,-3,0,0,0,
spider/music_1/0021,16,-3,0,0,0,
spider/chinook_1/0005,16,-3,0,0,0,
spider/medicine_enzyme_interaction/0017,16,-3,0,0,0,
spider/dorm_1/0035,16,-3,0,0,0,
spider/customers_campaigns_ecommerce/0011,16,-3,0,0,0,
spider/apartment_rentals/0027,16,-3,0,0,0,
spider/body_builder/0006,16,-3,0,0,0,
spider/mountain_photos/0011,16,-3,0,0,0,
spider/railway/0011,16,-3,0,0,0,
spider/farm/0014,16,-3,0,0,0,
spider/ship_1/0004,16,-3,0,0,0,
spider/tracking_grants_for_research/0037,16,-3,0,0,0,
spider/school_bus/0011,16,-3,0,0,0,
spider/student_1/0006,16,-3,0,0,0,
spider/company_office/0016,16,-3,0,0,0,
spider/products_gen_characteristics/0036,16,-3,0,0,0,
spider/student_assessment/0022,16,-3,0,0,0,
spider/candidate_poll/0017,16,-3,0,0,0,
spider/student_assessment/0012,16,-3,0,0,0,
spider/hr_1/0008,16,-3,0,0,0,
spider/icfp_1/0026,16,-3,0,0,0,
spider/flight_4/0037,16,-3,0,0,0,
spider/loan_1/0040,16,-3,0,0,0,
spider/store_product/0005,16,-3,0,0,0,
spider/election/0007,16,-3,0,0,0,
spider/device/0011,16,-3,0,0,0,
spider/club_1/0014,16,-3,0,0,0,
spider/loan_1/0035,16,-3,0,0,0,
spider/restaurant_1/0006,16,-3,0,0,0,
spider/tracking_orders/0014,16,-3,0,0,0,
spider/company_employee/0002,16,-3,0,0,0,
spider/film_rank/0021,16,-3,0,0,0,
spider/customer_complaints/0006,16,-3,0,0,0,
spider/wedding/0019,16,-3,0,0,0,
spider/movie_1/0041,16,-3,0,0,0,
spider/soccer_1/0011,16,-3,0,0,0,
spider/college_2/0064,16,-3,0,0,0,
spider/club_1/0027,16,-3,0,0,0,
spider/twitter_1/0027,16,-3,0,0,0,
spider/activity_1/0016,16,-3,0,0,0,
spider/tracking_share_transactions/0018,16,-3,0,0,0,
spider/document_management/0009,16,-3,0,0,0,
spider/e_learning/0014,16,-3,0,0,0,
spider/chinook_1/0013,16,-3,0,0,0,
spider/city_record/0010,16,-3,0,0,0,
spider/music_4/0008,16,-3,0,0,0,
spider/wine_1/0039,16,-3,0,0,0,
spider/pilot_record/0014,16,-3,0,0,0,
spider/products_for_hire/0016,16,-3,0,0,0,
spider/small_bank_1/0009,16,-3,0,0,0,
spider/flight_company/0016,16,-3,0,0,0,
spider/storm_record/0013,16,-3,0,0,0,
spider/products_for_hire/0009,16,-3,0,0,0,
spider/performance_attendance/0003,16,-3,0,0,0,
spider/college_3/0008,16,-3,0,0,0,
spider/network_2/0016,16,-3,0,0,0,
spider/cre_Doc_Tracking_DB/0037,16,-3,0,0,0,
spider/cre_Theme_park/0019,16,-3,0,0,0,
spider/icfp_1/0025,16,-3,0,0,0,
spider/store_1/0025,16,-3,0,0,0,
spider/loan_1/0017,16,-3,0,0,0,
spider/customers_and_addresses/0009,16,-3,0,0,0,
spider/pilot_record/0003,16,-3,0,0,0,
spider/pilot_record/0001,16,-3,0,0,0,
spider/journal_committee/0012,16,-3,0,0,0,
spider/pilot_record/0007,16,-3,0,0,0,
spider/chinook_1/0034,16,-3,0,0,0,
spider/wine_1/0013,16,-3,0,0,0,
spider/product_catalog/0020,16,-3,0,0,0,
spider/cre_Docs_and_Epenses/0010,16,-3,0,0,0,
spider/apartment_rentals/0014,16,-3,0,0,0,
spider/department_management/0015,16,-3,0,0,0,
spider/music_1/0025,16,-3,0,0,0,
spider/insurance_fnol/0021,16,-3,0,0,0,
spider/wrestler/0007,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0027,16,-3,0,0,0,
spider/store_1/0036,16,-3,0,0,0,
spider/cinema/0022,16,-3,0,0,0,
spider/storm_record/0005,16,-3,0,0,0,
spider/dorm_1/0044,16,-3,0,0,0,
spider/protein_institute/0019,16,-3,0,0,0,
spider/game_1/0023,16,-3,0,0,0,
spider/game_injury/0014,16,-3,0,0,0,
spider/company_employee/0015,16,-3,0,0,0,
spider/flight_1/0007,16,-3,0,0,0,
spider/voter_2/0031,16,-3,0,0,0,
spider/dorm_1/0005,16,-3,0,0,0,
spider/customers_card_transactions/0014,16,-3,0,0,0,
spider/customers_card_transactions/0036,16,-3,0,0,0,
spider/protein_institute/0012,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0009,16,-3,0,0,0,
spider/company_office/0012,16,-3,0,0,0,
spider/soccer_2/0042,16,-3,0,0,0,
spider/scientist_1/0010,16,-3,0,0,0,
spider/customer_deliveries/0001,16,-3,0,0,0,
spider/epinions_1/0008,16,-3,0,0,0,
spider/store_product/0003,16,-3,0,0,0,
spider/perpetrator/0011,16,-3,0,0,0,
spider/game_injury/0003,16,-3,0,0,0,
spider/election_representative/0003,16,-3,0,0,0,
spider/school_finance/0023,16,-3,0,0,0,
spider/music_4/0003,16,-3,0,0,0,
spider/customers_and_invoices/0008,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0007,16,-3,0,0,0,
spider/customers_and_addresses/0011,16,-3,0,0,0,
spider/manufactory_1/0011,16,-3,0,0,0,
spider/medicine_enzyme_interaction/0003,16,-3,0,0,0,
spider/customers_and_invoices/0010,16,-3,0,0,0,
spider/coffee_shop/0002,16,-3,0,0,0,
spider/restaurant_1/0003,16,-3,0,0,0,
spider/match_season/0019,16,-3,0,0,0,
spider/activity_1/0037,16,-3,0,0,0,
spider/tracking_share_transactions/0007,16,-3,0,0,0,
spider/department_store/0034,16,-3,0,0,0,
spider/decoration_competition/0001,16,-3,0,0,0,
spider/wedding/0008,16,-3,0,0,0,
spider/hospital_1/0025,16,-3,0,0,0,
spider/cre_Drama_Workshop_Groups/0035,16,-3,0,0,0,
spider/soccer_1/0008,16,-3,0,0,0,
spider/restaurant_1/0020,16,-3,0,0,0,
spider/race_track/0010,16,-3,0,0,0,
spider/customers_and_addresses/0034,16,-3,0,0,0,
spider/assets_maintenance/0025,16,-3,0,0,0,
spider/race_track/0018,16,-3,0,0,0,
spider/roller_coaster/0006,16,-3,0,0,0,
spider/news_report/0008,16,-3,0,0,0,
spider/twitter_1/0001,16,-3,0,0,0,
spider/soccer_2/0010,16,-3,0,0,0,
spider/network_2/0022,16,-3,0,0,0,
spider/election_representative/0001,16,-3,0,0,0,
spider/activity_1/0008,16,-3,0,0,0,
spider/tracking_share_transactions/0013,16,-3,0,0,0,
spider/products_gen_characteristics/0032,16,-3,0,0,0,
spider/college_2/0062,16,-3,0,0,0,
spider/department_store/0024,16,-3,0,0,0,
spider/train_station/0020,16,-3,0,0,0,
spider/swimming/0017,16,-3,0,0,0,
spider/local_govt_and_lot/0003,16,-3,0,0,0,
spider/customers_and_invoices/0017,16,-3,0,0,0,
spider/protein_institute/0011,16,-3,0,0,0,
spider/flight_1/0021,16,-3,0,0,0,
spider/manufactory_1/0022,16,-3,0,0,0,
spider/station_weather/0004,16,-3,0,0,0,
spider/tracking_software_problems/0013,16,-3,0,0,0,
spider/company_office/0019,16,-3,0,0,0,
spider/movie_1/0036,16,-3,0,0,0,
spider/e_learning/0017,16,-3,0,0,0,
spider/customers_and_products_contacts/0005,16,-3,0,0,0,
spider/college_3/0009,16,-3,0,0,0,
spider/workshop_paper/0012,16,-3,0,0,0,
spider/wedding/0011,16,-3,0,0,0,
spider/network_2/0039,16,-3,0,0,0,
spider/hospital_1/0013,16,-3,0,0,0,
spider/phone_market/0005,16,-3,0,0,0,
spider/solvency_ii/0013,16,-3,0,0,0,
spider/sports_competition/0013,16,-3,0,0,0,
spider/college_1/0021,16,-3,0,0,0,
spider/baseball_1/0041,16,-3,0,0,0,
spider/e_learning/0034,16,-3,0,0,0,
spider/flight_company/0019,16,-3,0,0,0,
spider/dorm_1/0017,16,-3,0,0,0,
spider/customers_card_transactions/0011,16,-3,0,0,0,
spider/movie_1/0047,16,-3,0,0,0,
spider/journal_committee/0008,16,-3,0,0,0,
spider/behavior_monitoring/0022,16,-3,0,0,0,
spider/theme_gallery/0002,16,-3,0,0,0,
spider/architecture/0013,16,-3,0,0,0,
spider/music_4/0009,16,-3,0,0,0,
spider/entertainment_awards/0013,16,-3,0,0,0,
spider/college_3/0027,16,-3,0,0,0,
spider/soccer_2/0021,16,-3,0,0,0,
spider/wine_1/0018,16,-3,0,0,0,
