name,loc,sql_size,sql_length,sql_hardness,tables,total_cols,unique_cols,total_rows,total_cells,total_bytes,input_cols,unique_input_cols,input_rows,input_cells,input_bytes,output_cols,output_rows,output_cells,output_bytes
kaggle/1_2_T_1,1,12,56,easy,1,12,11,6,46,450,11,11,4,44,434,1,2,2,16
kaggle/1_2_T_2,1,15,65,medium,1,13,11,6,48,464,11,11,4,44,434,2,2,4,30
kaggle/1_2_T_3,1,12,53,easy,1,22,11,6,66,707,11,11,4,44,434,11,2,22,273
kaggle/1_2_T_4,1,18,77,,1,16,14,12,108,1204,14,14,7,98,977,2,5,10,227
kaggle/1_2_X_1,1,12,59,easy,1,12,11,12,92,835,11,11,8,88,816,1,4,4,19
kaggle/1_2_X_2,1,12,68,easy,1,12,11,10,90,829,11,11,8,88,816,1,2,2,13
kaggle/1_2_X_3,1,12,50,easy,1,22,11,13,143,1342,11,11,10,110,987,11,3,33,355
kaggle/1_3_T_1,1,21,76,medium,1,12,10,15,142,1444,10,10,14,140,1422,2,1,2,22
kaggle/1_3_T_2,1,21,86,,1,12,10,15,142,1447,10,10,14,140,1422,2,1,2,25
kaggle/1_3_X_1,1,21,88,,1,12,10,15,142,1389,10,10,14,140,1368,2,1,2,21
kaggle/1_3_X_2,2,18,73,,1,11,10,15,141,1453,10,10,14,140,1434,1,1,1,19
kaggle/1_4_T_1,2,21,190,,1,72,70,16,712,6856,70,70,10,700,6807,2,6,12,49
kaggle/1_4_X_1,2,35,216,,1,8,6,10,52,724,6,6,8,48,652,2,2,4,72
kaggle/1_4_X_2,2,34,166,,1,8,6,20,112,1358,6,6,18,108,1307,2,2,4,51
kaggle/1_5_T_1,1,25,171,,1,19,17,9,93,2848,17,17,5,85,2773,2,4,8,75
kaggle/1_5_X_1,1,21,152,,1,25,23,5,73,1162,23,23,3,69,1134,2,2,4,28
kaggle/1_5_X_2,1,32,212,,1,25,23,7,119,1697,23,23,5,115,1674,2,2,4,23
kaggle/1_5_X_3,1,74,445,,1,26,23,8,144,2065,23,23,6,138,2016,3,2,6,49
kaggle/1_6_T_1,2,30,167,,2,10,7,13,50,836,8,7,10,44,780,2,3,6,56
kaggle/1_6_X_1,1,18,81,medium,1,23,20,5,66,666,20,20,3,60,596,3,2,6,70
kaggle/1_6_X_2,1,34,139,hard,2,43,20,8,126,1147,40,20,6,120,1078,3,2,6,69
kaggle/1_6_X_3,1,34,200,,2,42,20,9,144,1203,40,20,7,140,1150,2,2,4,53
kaggle/2_1_T_1,1,58,268,,2,26,14,25,230,3129,22,14,20,210,2760,4,5,20,369
kaggle/2_1_T_2,1,40,168,,2,23,14,33,223,2886,22,14,20,210,2760,1,13,13,126
kaggle/2_1_X_1,1,52,349,,2,42,20,11,184,1486,40,20,9,180,1442,2,2,4,44
kaggle/2_1_X_2,1,63,386,,2,43,20,14,246,1579,40,20,12,240,1480,3,2,6,99
kaggle/2_1_X_3,1,60,342,,3,56,31,20,290,2247,53,31,16,278,2144,3,4,12,103
kaggle/2_1_X_4,1,40,217,,2,41,20,10,143,1103,40,20,7,140,1075,1,3,3,28
kaggle/2_2_T_1,1,40,315,,1,14,11,9,83,707,11,11,7,77,641,3,2,6,66
kaggle/2_2_T_2,1,,466,,1,17,11,12,107,1125,11,11,7,77,921,6,5,30,204
kaggle/2_2_X_1,1,49,390,,1,25,23,75,1053,6038,23,23,43,989,5051,2,32,64,987
kaggle/2_2_X_2,1,29,233,,1,27,23,10,154,1288,23,23,6,138,1040,4,4,16,248
kaggle/2_2_X_3,1,39,269,,1,27,23,10,154,1300,23,23,6,138,1040,4,4,16,260
scythe/recent_posts/001,3,24,176,,1,6,4,11,32,214,4,4,5,20,134,2,6,12,80
scythe/recent_posts/002,,37,209,,1,4,2,7,14,52,2,2,3,6,23,2,4,8,29
scythe/recent_posts/003,1,27,96,medium,2,6,4,24,48,135,4,4,17,34,93,2,7,14,42
scythe/recent_posts/004,3,43,228,,1,5,3,9,23,150,3,3,5,15,88,2,4,8,62
scythe/recent_posts/005,3,40,232,,1,8,4,9,36,348,4,4,8,32,279,4,1,4,69
scythe/recent_posts/006,4,19,75,extra,1,10,6,6,34,346,6,6,5,30,229,4,1,4,117
scythe/recent_posts/007,3,65,243,,1,8,4,10,40,389,4,4,7,28,261,4,3,12,128
scythe/recent_posts/008,,,,,1,14,6,12,80,300,6,6,8,48,172,8,4,32,128
scythe/recent_posts/009,1,16,64,,1,8,5,6,26,230,5,5,4,20,170,3,2,6,60
scythe/recent_posts/010,,,,,1,8,4,13,52,441,4,4,10,40,322,4,3,12,119
scythe/recent_posts/011,1,16,54,,1,5,3,6,16,171,3,3,4,12,109,2,2,4,62
scythe/recent_posts/012,3,38,211,,1,11,6,7,40,403,6,6,5,30,230,5,2,10,173
scythe/recent_posts/013,2,50,227,,2,8,3,8,20,164,4,3,6,12,95,4,2,8,69
scythe/recent_posts/014,2,51,198,,2,9,4,40,120,609,6,4,20,60,313,3,20,60,296
scythe/recent_posts/015,,,,,1,8,4,7,28,335,4,4,5,20,233,4,2,8,102
scythe/recent_posts/016,4,36,192,,1,5,2,8,17,149,2,2,7,14,124,3,1,3,25
scythe/recent_posts/017,4,48,209,,1,6,3,9,27,151,3,3,7,21,105,3,2,6,46
scythe/recent_posts/018,2,62,295,,1,6,4,9,32,271,4,4,7,28,247,2,2,4,24
scythe/recent_posts/019,3,24,81,hard,1,6,3,13,39,327,3,3,9,27,216,3,4,12,111
scythe/recent_posts/020,,23,86,,1,5,3,8,21,312,3,3,5,15,151,2,3,6,161
scythe/recent_posts/021,3,49,236,,1,4,2,16,32,135,2,2,12,24,91,2,4,8,44
scythe/recent_posts/022,3,37,271,,1,3,2,9,17,67,2,2,8,16,61,1,1,1,6
scythe/recent_posts/023,,85,380,,1,11,3,17,81,409,3,3,11,33,159,8,6,48,250
scythe/recent_posts/024,,58,241,,1,5,3,11,29,183,3,3,7,21,119,2,4,8,64
scythe/recent_posts/025,3,29,129,,1,6,3,10,30,186,3,3,6,18,110,3,4,12,76
scythe/recent_posts/026,,35,166,,1,8,3,8,30,204,3,3,5,15,90,5,3,15,114
scythe/recent_posts/027,3,109,384,,1,7,3,32,102,1012,3,3,26,78,790,4,6,24,222
scythe/recent_posts/028,3,,172,,1,4,2,12,24,84,2,2,10,20,68,2,2,4,16
scythe/recent_posts/029,,162,516,,2,15,5,16,80,614,10,5,8,40,311,5,8,40,303
scythe/recent_posts/030,,175,892,,2,13,10,20,94,806,10,10,17,85,710,3,3,9,96
scythe/recent_posts/031,2,36,183,extra,2,9,5,6,18,154,6,5,5,15,134,3,1,3,20
scythe/recent_posts/032,2,43,155,,1,7,4,10,36,129,4,4,6,24,80,3,4,12,49
scythe/recent_posts/033,4,66,382,,2,12,5,24,96,788,7,5,20,76,665,5,4,20,123
scythe/recent_posts/034,2,30,198,,1,6,3,4,12,169,3,3,3,9,126,3,1,3,43
scythe/recent_posts/035,4,56,238,,1,8,3,40,140,434,3,3,30,90,248,5,10,50,186
scythe/recent_posts/036,3,32,95,medium,2,7,5,6,14,90,5,5,4,10,58,2,2,4,32
scythe/recent_posts/037,,,,,1,8,4,13,52,409,4,4,9,36,272,4,4,16,137
scythe/recent_posts/038,1,27,104,,2,7,3,11,26,154,4,3,7,14,89,3,4,12,65
scythe/recent_posts/039,,97,545,,1,5,3,9,24,101,3,3,6,18,71,2,3,6,30
scythe/recent_posts/040,3,55,235,,1,10,5,7,35,329,5,5,5,25,216,5,2,10,113
scythe/recent_posts/041,,55,231,,1,8,6,156,916,2117,6,6,151,906,2027,2,5,10,90
scythe/recent_posts/042,1,15,55,medium,1,5,3,10,25,122,3,3,5,15,74,2,5,10,48
scythe/recent_posts/043,,32,138,,1,6,3,25,75,1133,3,3,20,60,894,3,5,15,239
scythe/recent_posts/044,,37,142,,2,6,3,10,20,151,4,3,8,16,115,2,2,4,36
scythe/recent_posts/045,2,28,175,,2,7,4,9,21,144,5,4,6,15,90,2,3,6,54
scythe/recent_posts/046,4,47,178,,1,6,3,13,39,156,3,3,8,24,93,3,5,15,63
scythe/recent_posts/047,2,45,240,,1,5,3,8,22,141,3,3,6,18,116,2,2,4,25
scythe/recent_posts/048,,64,442,,1,9,3,10,42,200,3,3,6,18,70,6,4,24,130
scythe/recent_posts/049,,31,203,,1,6,3,5,15,162,3,3,3,9,38,3,2,6,124
scythe/recent_posts/050,,70,446,,3,15,10,12,48,337,10,10,8,28,200,5,4,20,137
scythe/recent_posts/051,2,35,128,,2,7,3,7,16,294,4,3,5,10,170,3,2,6,124
scythe/top_rated_posts/001,1,13,67,,1,4,2,7,14,132,2,2,5,10,64,2,2,4,68
scythe/top_rated_posts/002,2,28,110,,1,4,3,6,16,118,3,3,5,15,109,1,1,1,9
scythe/top_rated_posts/003,1,9,32,,1,2,1,4,4,64,1,1,3,3,28,1,1,1,36
scythe/top_rated_posts/004,2,48,156,,1,6,3,6,18,70,3,3,4,12,42,3,2,6,28
scythe/top_rated_posts/005,3,70,327,,1,6,3,9,27,129,3,3,7,21,86,3,2,6,43
scythe/top_rated_posts/006,2,31,138,,1,6,3,9,27,168,3,3,6,18,105,3,3,9,63
scythe/top_rated_posts/007,2,40,191,,1,10,5,12,60,388,5,5,8,40,248,5,4,20,140
scythe/top_rated_posts/008,2,30,192,,2,10,6,10,34,444,7,6,7,25,313,3,3,9,131
scythe/top_rated_posts/009,2,48,234,,1,6,3,5,15,123,3,3,3,9,69,3,2,6,54
scythe/top_rated_posts/010,1,21,123,,2,9,4,6,18,192,6,4,5,15,149,3,1,3,43
scythe/top_rated_posts/011,2,38,227,,2,8,4,9,25,222,5,4,7,19,127,3,2,6,95
scythe/top_rated_posts/012,2,48,327,,1,7,4,10,37,235,4,4,7,28,158,3,3,9,77
scythe/top_rated_posts/013,3,43,191,,1,5,2,9,22,158,2,2,5,10,80,3,4,12,78
scythe/top_rated_posts/014,1,,68,,1,4,2,5,10,54,2,2,3,6,24,2,2,4,30
scythe/top_rated_posts/015,,107,534,,1,8,3,6,20,186,3,3,5,15,108,5,1,5,78
scythe/top_rated_posts/016,1,17,92,,1,5,3,6,16,121,3,3,4,12,63,2,2,4,58
scythe/top_rated_posts/017,3,34,202,,1,6,3,6,18,122,3,3,4,12,77,3,2,6,45
scythe/top_rated_posts/018,,70,288,,1,6,3,13,39,127,3,3,8,24,74,3,5,15,53
scythe/top_rated_posts/019,2,39,170,,1,5,2,6,15,50,2,2,3,6,21,3,3,9,29
scythe/top_rated_posts/020,2,34,202,,1,5,2,8,20,244,2,2,4,8,115,3,4,12,129
scythe/top_rated_posts/021,1,18,121,,1,7,4,10,38,256,4,4,8,32,187,3,2,6,69
scythe/top_rated_posts/022,1,,317,,1,3,2,8,15,42,2,2,7,14,34,1,1,1,8
scythe/top_rated_posts/023,1,,120,,1,5,2,10,25,123,2,2,5,10,54,3,5,15,69
scythe/top_rated_posts/024,2,27,134,,1,7,4,7,25,200,4,4,4,16,138,3,3,9,62
scythe/top_rated_posts/025,2,34,215,,1,4,2,8,16,56,2,2,6,12,38,2,2,4,18
scythe/top_rated_posts/026,,,,,1,7,3,10,35,242,3,3,5,15,128,4,5,20,114
scythe/top_rated_posts/027,2,48,169,,1,6,3,5,15,199,3,3,3,9,116,3,2,6,83
scythe/top_rated_posts/028,2,,101,,2,6,3,14,33,193,4,3,11,27,117,2,3,6,76
scythe/top_rated_posts/029,1,15,77,,1,4,2,8,16,156,2,2,5,10,82,2,3,6,74
scythe/top_rated_posts/030,,45,175,,1,6,3,12,36,168,3,3,8,24,106,3,4,12,62
scythe/top_rated_posts/031,,35,162,,1,6,3,5,15,86,3,3,4,12,67,3,1,3,19
scythe/top_rated_posts/032,,49,217,,1,6,3,6,18,111,3,3,4,12,72,3,2,6,39
scythe/top_rated_posts/033,,,448,,1,8,3,15,51,369,3,3,12,36,242,5,3,15,127
scythe/top_rated_posts/034,2,48,185,,1,6,3,8,24,126,3,3,6,18,87,3,2,6,39
scythe/top_rated_posts/035,,,106,,1,7,4,5,17,126,4,4,2,8,56,3,3,9,70
scythe/top_rated_posts/036,2,48,192,,1,6,3,8,24,204,3,3,5,15,123,3,3,9,81
scythe/top_rated_posts/037,2,34,145,,1,6,3,7,21,121,3,3,4,12,68,3,3,9,53
scythe/top_rated_posts/038,3,57,203,,1,6,3,12,36,248,3,3,7,21,144,3,5,15,104
scythe/top_rated_posts/039,2,47,261,,1,2,1,5,5,33,1,1,4,4,25,1,1,1,8
scythe/top_rated_posts/040,1,,72,easy,1,5,2,10,24,168,2,2,6,12,92,3,4,12,76
scythe/top_rated_posts/041,,,,,1,6,3,8,24,84,3,3,5,15,49,3,3,9,35
scythe/top_rated_posts/042,,,218,,1,9,5,7,31,129,5,5,3,15,64,4,4,16,65
scythe/top_rated_posts/043,3,25,143,extra,1,4,2,11,22,301,2,2,6,12,163,2,5,10,138
scythe/top_rated_posts/044,1,35,158,,1,5,2,6,15,75,2,2,3,6,27,3,3,9,48
scythe/top_rated_posts/045,3,36,258,,1,6,4,8,30,202,4,4,7,28,188,2,1,2,14
scythe/top_rated_posts/046,,,,,1,4,2,21,42,167,2,2,13,26,101,2,8,16,66
scythe/top_rated_posts/047,2,38,164,,1,8,4,8,32,191,4,4,5,20,116,4,3,12,75
scythe/top_rated_posts/048,2,47,261,,1,6,3,7,21,261,3,3,4,12,144,3,3,9,117
scythe/top_rated_posts/049,1,15,86,,1,4,2,7,14,98,2,2,5,10,47,2,2,4,51
scythe/top_rated_posts/050,1,,133,,1,9,4,8,36,146,4,4,4,16,65,5,4,20,81
scythe/top_rated_posts/051,2,40,223,,1,6,3,12,36,224,3,3,9,27,160,3,3,9,64
scythe/top_rated_posts/052,,22,74,,1,5,2,8,20,91,2,2,4,8,36,3,4,12,55
scythe/top_rated_posts/053,,39,196,,1,3,1,10,15,100,1,1,5,5,24,2,5,10,76
scythe/top_rated_posts/054,1,28,156,,1,4,2,8,16,158,2,2,4,8,78,2,4,8,80
scythe/top_rated_posts/055,1,16,73,,1,7,4,6,22,140,4,4,4,16,82,3,2,6,58
scythe/top_rated_posts/056,,,734,,1,6,3,8,24,78,3,3,3,9,35,3,5,15,43
scythe/top_rated_posts/057,2,26,161,extra,1,7,4,13,46,431,4,4,7,28,237,3,6,18,194
spider/activity_1/0001,,6,28,easy,1,9,8,59,465,2868,8,8,58,464,2850,1,1,1,18
spider/activity_1/0002,,6,33,easy,1,9,8,62,468,2904,8,8,58,464,2850,1,4,4,54
spider/activity_1/0003,,6,37,easy,1,9,8,61,467,2886,8,8,58,464,2850,1,3,3,36
spider/activity_1/0004,,12,52,medium,1,11,8,116,638,4347,8,8,58,464,2850,3,58,174,1497
spider/activity_1/0005,,18,69,medium,1,11,8,65,485,3027,8,8,58,464,2850,3,7,21,177
spider/activity_1/0006,,12,41,easy,1,9,8,109,515,3167,8,8,58,464,2850,1,51,51,317
spider/activity_1/0007,,19,69,medium,1,9,8,59,465,2867,8,8,58,464,2850,1,1,1,17
spider/activity_1/0008,,25,100,medium,1,11,8,59,467,2900,8,8,58,464,2850,3,1,3,50
spider/activity_1/0009,,19,76,medium,1,9,8,59,465,2867,8,8,58,464,2850,1,1,1,17
spider/activity_1/0010,,15,65,medium,1,10,8,66,480,2996,8,8,58,464,2850,2,8,16,146
spider/activity_1/0011,,11,63,medium,1,10,8,61,470,2908,8,8,58,464,2850,2,3,6,58
spider/activity_1/0012,,13,77,hard,1,9,8,59,465,2873,8,8,58,464,2850,1,1,1,23
spider/activity_1/0013,,20,93,medium,1,9,8,60,466,2881,8,8,58,464,2850,1,2,2,31
spider/activity_1/0014,,11,55,medium,1,10,8,62,472,2927,8,8,58,464,2850,2,4,8,77
spider/activity_1/0015,,16,81,medium,1,11,8,65,485,2988,8,8,58,464,2850,3,7,21,138
spider/activity_1/0016,,13,68,hard,1,9,8,59,465,2871,8,8,58,464,2850,1,1,1,21
spider/activity_1/0017,,17,77,medium,1,10,8,60,468,2883,8,8,58,464,2850,2,2,4,33
spider/activity_1/0018,,38,145,extra,2,18,13,93,738,4200,16,13,92,736,4161,2,1,2,39
spider/activity_1/0019,,26,106,medium,2,17,13,106,750,4256,16,13,92,736,4161,1,14,14,95
spider/activity_1/0020,,38,150,extra,2,18,13,95,742,4227,16,13,92,736,4161,2,3,6,66
spider/activity_1/0021,,25,113,medium,2,18,13,110,772,4329,16,13,92,736,4161,2,18,36,168
spider/activity_1/0022,,25,111,medium,2,18,13,95,742,4224,16,13,92,736,4161,2,3,6,63
spider/activity_1/0023,,31,144,extra,2,18,13,93,738,4198,16,13,92,736,4161,2,1,2,37
spider/activity_1/0024,,28,117,medium,2,17,13,101,745,4226,16,13,92,736,4161,1,9,9,65
spider/activity_1/0025,,12,60,hard,2,17,13,132,776,4412,16,13,92,736,4161,1,40,40,251
spider/activity_1/0026,,6,34,easy,1,3,2,32,48,532,2,2,16,32,303,1,16,16,229
spider/activity_1/0027,,6,29,easy,1,3,2,17,33,321,2,2,16,32,303,1,1,1,18
spider/activity_1/0028,,8,57,easy,1,3,2,41,81,452,2,2,40,80,421,1,1,1,31
spider/activity_1/0029,,12,74,hard,2,11,9,138,584,3522,10,9,98,544,3271,1,40,40,251
spider/activity_1/0030,,12,79,hard,2,11,10,81,359,1785,10,10,74,352,1732,1,7,7,53
spider/activity_1/0031,,33,144,medium,2,11,9,99,545,3288,10,9,98,544,3271,1,1,1,17
spider/activity_1/0032,,45,195,hard,3,13,10,117,579,3628,12,10,114,576,3574,1,3,3,54
spider/activity_1/0033,,33,161,medium,2,14,9,116,616,3710,10,9,98,544,3271,4,18,72,439
spider/activity_1/0034,,25,136,medium,2,6,3,69,138,941,4,3,56,112,724,2,13,26,217
spider/activity_1/0035,,31,158,extra,2,12,9,99,546,3303,10,9,98,544,3271,2,1,2,32
spider/activity_1/0036,,27,150,extra,2,5,3,57,113,762,4,3,56,112,724,1,1,1,38
spider/activity_1/0037,,12,66,hard,2,11,9,108,416,2067,10,9,104,412,2032,1,4,4,35
spider/activity_1/0038,,18,84,hard,2,11,9,121,429,2145,10,9,104,412,2032,1,17,17,113
spider/activity_1/0039,,31,150,extra,2,12,9,105,414,2071,10,9,104,412,2032,2,1,2,39
spider/activity_1/0040,,27,142,extra,2,5,3,87,173,1053,4,3,86,172,1024,1,1,1,29
spider/activity_1/0041,,45,215,extra,3,13,10,132,594,3736,12,10,114,576,3574,1,18,18,162
spider/activity_1/0042,,57,273,hard,3,13,10,136,598,3776,12,10,114,576,3574,1,22,22,202
spider/activity_1/0043,,74,361,extra,3,13,10,132,594,3736,12,10,114,576,3574,1,18,18,162
spider/activity_1/0044,,52,259,extra,2,5,3,116,202,1215,4,3,86,172,1024,1,30,30,191
spider/aircraft/0001,,6,29,easy,1,7,6,6,31,689,6,6,5,30,672,1,1,1,17
spider/aircraft/0002,,6,32,easy,1,7,6,10,35,817,6,6,5,30,672,1,5,5,145
spider/aircraft/0003,,8,49,easy,1,10,9,11,91,1033,9,9,10,90,985,1,1,1,48
spider/aircraft/0004,,15,111,medium,1,11,9,11,92,1063,9,9,10,90,985,2,1,2,78
spider/aircraft/0005,,14,79,medium,1,10,9,11,91,1028,9,9,10,90,985,1,1,1,43
spider/aircraft/0006,,13,75,medium,1,11,9,11,92,1061,9,9,10,90,985,2,1,2,76
spider/aircraft/0007,,12,38,easy,1,4,3,21,45,476,3,3,12,36,316,1,9,9,160
spider/aircraft/0008,,9,40,easy,1,4,3,24,48,548,3,3,12,36,316,1,12,12,232
spider/aircraft/0009,,15,57,medium,1,4,3,21,45,498,3,3,12,36,316,1,9,9,182
spider/aircraft/0010,,37,194,hard,3,19,16,20,133,1753,18,16,19,132,1724,1,1,1,29
spider/aircraft/0011,,41,213,hard,3,20,16,21,136,1846,18,16,19,132,1724,2,2,4,122
spider/aircraft/0012,,39,202,hard,3,19,16,20,133,1767,18,16,19,132,1724,1,1,1,43
spider/aircraft/0013,,23,115,medium,2,15,13,19,93,1552,13,13,12,79,1250,2,7,14,302
spider/aircraft/0014,,27,155,extra,2,14,13,13,80,1275,13,13,12,79,1250,1,1,1,25
spider/aircraft/0015,,25,141,medium,2,15,13,17,89,1374,13,13,12,79,1250,2,5,10,124
spider/aircraft/0016,,9,40,easy,1,4,3,24,48,548,3,3,12,36,316,1,12,12,232
spider/aircraft/0017,,28,145,medium,2,14,13,14,81,1290,13,13,12,79,1250,1,2,2,40
spider/aircraft/0020,,11,68,medium,1,18,9,11,99,1272,9,9,10,90,985,9,1,9,287
spider/aircraft/0021,,38,172,extra,2,12,10,20,87,930,10,10,19,85,894,2,1,2,36
spider/aircraft/0023,,21,120,hard,2,11,10,30,96,1111,10,10,19,85,894,1,11,11,217
spider/allergy_1/0001,,8,48,easy,1,3,2,15,29,285,2,2,14,28,252,1,1,1,33
spider/allergy_1/0002,,8,52,easy,1,3,2,15,29,288,2,2,14,28,252,1,1,1,36
spider/allergy_1/0003,,6,45,easy,1,3,2,17,31,298,2,2,14,28,252,1,3,3,46
spider/allergy_1/0004,,9,52,medium,1,4,2,28,56,504,2,2,14,28,252,2,14,28,252
spider/allergy_1/0005,,12,68,easy,1,3,2,21,35,317,2,2,14,28,252,1,7,7,65
spider/allergy_1/0006,,12,58,easy,1,3,2,15,29,277,2,2,14,28,252,1,1,1,25
spider/allergy_1/0007,,12,62,easy,1,3,2,15,29,269,2,2,14,28,252,1,1,1,17
spider/allergy_1/0008,,11,74,medium,1,4,2,17,34,317,2,2,14,28,252,2,3,6,65
spider/allergy_1/0009,,13,88,hard,1,3,2,15,29,275,2,2,14,28,252,1,1,1,23
spider/allergy_1/0010,,13,87,hard,1,3,2,15,29,284,2,2,14,28,252,1,1,1,32
spider/allergy_1/0011,,6,28,easy,1,9,8,35,273,1329,8,8,34,272,1311,1,1,1,18
spider/allergy_1/0012,,9,39,medium,1,10,8,68,340,1780,8,8,34,272,1311,2,34,68,469
spider/allergy_1/0013,,8,43,easy,1,9,8,35,273,1344,8,8,34,272,1311,1,1,1,33
spider/allergy_1/0014,,6,34,easy,1,9,8,40,278,1351,8,8,34,272,1311,1,6,6,40
spider/allergy_1/0015,,6,38,easy,1,9,8,53,291,1421,8,8,34,272,1311,1,19,19,110
spider/allergy_1/0016,,18,67,medium,1,11,8,44,302,1498,8,8,34,272,1311,3,10,30,187
spider/allergy_1/0017,,12,41,easy,1,9,8,58,296,1466,8,8,34,272,1311,1,24,24,155
spider/allergy_1/0018,,12,43,easy,1,9,8,35,273,1329,8,8,34,272,1311,1,1,1,18
spider/allergy_1/0019,,12,40,easy,1,9,8,41,279,1364,8,8,34,272,1311,1,7,7,53
spider/allergy_1/0020,,12,49,easy,1,9,8,35,273,1331,8,8,34,272,1311,1,1,1,20
spider/allergy_1/0021,,12,46,easy,1,9,8,35,273,1330,8,8,34,272,1311,1,1,1,19
spider/allergy_1/0022,,19,75,medium,1,9,8,35,273,1328,8,8,34,272,1311,1,1,1,17
spider/allergy_1/0023,,18,62,medium,1,11,8,35,275,1378,8,8,34,272,1311,3,1,3,67
spider/allergy_1/0024,,18,77,hard,1,9,8,35,273,1327,8,8,34,272,1311,1,1,1,16
spider/allergy_1/0025,,18,77,hard,1,9,8,35,273,1328,8,8,34,272,1311,1,1,1,17
spider/allergy_1/0026,,11,57,medium,1,10,8,40,284,1377,8,8,34,272,1311,2,6,12,66
spider/allergy_1/0027,,13,71,hard,1,9,8,35,273,1327,8,8,34,272,1311,1,1,1,16
spider/allergy_1/0028,,11,53,medium,1,10,8,43,290,1388,8,8,34,272,1311,2,9,18,77
spider/allergy_1/0029,,13,53,medium,1,10,8,36,276,1350,8,8,34,272,1311,2,2,4,39
spider/allergy_1/0030,,11,65,medium,1,10,8,53,310,1472,8,8,34,272,1311,2,19,38,161
spider/allergy_1/0031,,11,61,medium,1,10,8,52,308,1481,8,8,34,272,1311,2,18,36,170
spider/allergy_1/0032,,13,75,hard,1,9,8,35,273,1330,8,8,34,272,1311,1,1,1,19
spider/allergy_1/0033,,12,54,easy,1,3,2,60,119,856,2,2,59,118,839,1,1,1,17
spider/allergy_1/0034,,14,65,easy,1,3,2,71,130,922,2,2,59,118,839,1,12,12,83
spider/allergy_1/0035,,12,62,hard,2,11,9,98,395,2191,10,9,93,390,2150,1,5,5,41
spider/allergy_1/0036,,41,150,hard,2,11,9,94,391,2167,10,9,93,390,2150,1,1,1,17
spider/allergy_1/0037,,25,119,medium,2,5,3,74,147,1109,4,3,73,146,1091,1,1,1,18
spider/allergy_1/0038,,13,79,hard,1,3,2,60,119,865,2,2,59,118,839,1,1,1,26
spider/allergy_1/0039,,11,65,medium,1,4,2,71,142,990,2,2,59,118,839,2,12,24,151
spider/allergy_1/0040,,25,136,medium,2,6,3,76,152,1158,4,3,73,146,1091,2,3,6,67
spider/allergy_1/0041,,35,197,extra,2,12,9,95,394,2186,10,9,93,390,2150,2,2,4,36
spider/allergy_1/0043,,35,195,extra,2,12,9,94,392,2177,10,9,93,390,2150,2,1,2,27
spider/allergy_1/0044,,62,337,hard,3,13,10,108,419,2437,12,10,107,418,2402,1,1,1,35
spider/allergy_1/0045,,38,199,extra,3,14,10,127,458,2684,12,10,107,418,2402,2,20,40,282
spider/allergy_1/0046,,40,197,extra,3,13,10,108,419,2420,12,10,107,418,2402,1,1,1,18
spider/allergy_1/0047,,38,169,hard,2,12,9,98,400,2228,10,9,93,390,2150,2,5,10,78
spider/allergy_1/0048,,49,236,extra,3,13,10,108,419,2420,12,10,107,418,2402,1,1,1,18
spider/allergy_1/0049,,24,126,extra,2,12,9,123,450,2496,10,9,93,390,2150,2,30,60,346
spider/apartment_rentals/0001,,6,39,easy,1,7,6,16,91,1051,6,6,15,90,1033,1,1,1,18
spider/apartment_rentals/0002,,9,74,medium,1,8,6,30,120,1703,6,6,15,90,1033,2,15,30,670
spider/apartment_rentals/0003,,6,61,easy,1,8,7,18,108,1918,7,7,15,105,1870,1,3,3,48
spider/apartment_rentals/0004,,12,83,easy,1,8,7,16,106,1912,7,7,15,105,1870,1,1,1,42
spider/apartment_rentals/0005,,15,106,medium,1,9,7,16,107,1971,7,7,15,105,1870,2,1,2,101
spider/apartment_rentals/0006,,12,90,medium,1,8,7,17,107,1926,7,7,15,105,1870,1,2,2,56
spider/apartment_rentals/0007,,13,70,medium,1,9,7,16,107,602,7,7,15,105,548,2,1,2,54
spider/apartment_rentals/0008,,8,41,easy,1,8,7,16,106,592,7,7,15,105,548,1,1,1,44
spider/apartment_rentals/0009,,9,52,medium,1,9,7,30,135,765,7,7,15,105,548,2,15,30,217
spider/apartment_rentals/0010,,14,69,easy,1,8,7,16,106,575,7,7,15,105,548,1,1,1,27
spider/apartment_rentals/0011,,12,62,easy,1,8,7,21,111,627,7,7,15,105,548,1,6,6,79
spider/apartment_rentals/0012,,9,59,medium,1,7,5,30,105,1030,5,5,15,75,760,2,15,30,270
spider/apartment_rentals/0013,,12,59,easy,1,6,5,18,78,847,5,5,15,75,760,1,3,3,87
spider/apartment_rentals/0014,,27,157,medium,2,16,12,45,240,2418,13,12,30,195,1581,3,15,45,837
spider/apartment_rentals/0015,,30,169,medium,2,15,12,37,209,1933,13,12,30,195,1581,2,7,14,352
spider/apartment_rentals/0016,,30,162,medium,2,15,12,45,225,2261,13,12,30,195,1581,2,15,30,680
spider/apartment_rentals/0017,,26,140,medium,2,14,12,31,196,1619,13,12,30,195,1581,1,1,1,38
spider/apartment_rentals/0018,,26,149,medium,2,14,12,35,200,1649,13,12,30,195,1581,1,5,5,68
spider/apartment_rentals/0019,,27,144,medium,2,14,12,31,196,1608,13,12,30,195,1581,1,1,1,27
